,date,pagePath,count,rank
0,2016-08-01,/home,2238,1
1,2016-08-01,/google+redesign/lifestyle,697,2
2,2016-08-01,/google+redesign/office,688,3
3,2016-08-01,/basket.html,684,4
4,2016-08-01,/google+redesign/apparel/men++s/men++s+t+shirts,667,5
5,2016-08-01,/google+redesign/electronics,627,6
6,2016-08-01,/google+redesign/drinkware,604,7
7,2016-08-01,/google+redesign/bags,578,8
8,2016-08-01,/store.html,445,9
9,2016-08-01,/google+redesign/apparel/women+s/women+s+t+shirts,420,10
0,2016-08-02,/home,3085,1
1,2016-08-02,/basket.html,938,2
2,2016-08-02,/google+redesign/office,785,3
3,2016-08-02,/google+redesign/bags,777,4
4,2016-08-02,/google+redesign/apparel/men++s/men++s+t+shirts,757,5
5,2016-08-02,/google+redesign/lifestyle,695,6
6,2016-08-02,/google+redesign/electronics,660,7
7,2016-08-02,/google+redesign/apparel/women+s/women+s+t+shirts,640,8
8,2016-08-02,/google+redesign/drinkware,617,9
9,2016-08-02,/store.html,527,10
0,2016-08-03,/home,4091,1
1,2016-08-03,/basket.html,1151,2
2,2016-08-03,/google+redesign/office,984,3
3,2016-08-03,/google+redesign/apparel/men++s/men++s+t+shirts,924,4
4,2016-08-03,/google+redesign/bags,921,5
5,2016-08-03,/google+redesign/electronics,883,6
6,2016-08-03,/google+redesign/lifestyle,760,7
7,2016-08-03,/google+redesign/drinkware,737,8
8,2016-08-03,/store.html,458,9
9,2016-08-03,/google+redesign/apparel/men++s/men++s+outerwear,318,10
0,2016-08-04,/home,4238,1
1,2016-08-04,/google+redesign/office,957,2
2,2016-08-04,/google+redesign/electronics,915,3
3,2016-08-04,/google+redesign/bags,828,4
4,2016-08-04,/google+redesign/apparel/men++s/men++s+t+shirts,820,5
5,2016-08-04,/google+redesign/lifestyle,817,6
6,2016-08-04,/google+redesign/drinkware,809,7
7,2016-08-04,/basket.html,777,8
8,2016-08-04,/store.html,389,9
9,2016-08-04,/google+redesign/apparel,336,10
0,2016-08-05,/home,3777,1
1,2016-08-05,/basket.html,1099,2
2,2016-08-05,/google+redesign/office,893,3
3,2016-08-05,/google+redesign/apparel/men++s/men++s+t+shirts,817,4
4,2016-08-05,/google+redesign/bags,816,5
5,2016-08-05,/google+redesign/drinkware,798,6
6,2016-08-05,/google+redesign/electronics,776,7
7,2016-08-05,/google+redesign/lifestyle,738,8
8,2016-08-05,/store.html,646,9
9,2016-08-05,/google+redesign/apparel,346,10
0,2016-08-06,/home,2436,1
1,2016-08-06,/store.html,548,2
2,2016-08-06,/basket.html,500,3
3,2016-08-06,/google+redesign/apparel/men++s/men++s+t+shirts,470,4
4,2016-08-06,/google+redesign/office,428,5
5,2016-08-06,/google+redesign/drinkware,409,6
6,2016-08-06,/google+redesign/bags,389,7
7,2016-08-06,/google+redesign/electronics,307,8
8,2016-08-06,/google+redesign/lifestyle,277,9
9,2016-08-06,/google+redesign/apparel,236,10
0,2016-08-07,/home,2381,1
1,2016-08-07,/store.html,497,2
2,2016-08-07,/basket.html,494,3
3,2016-08-07,/google+redesign/office,445,4
4,2016-08-07,/google+redesign/lifestyle,409,5
5,2016-08-07,/google+redesign/apparel/men++s/men++s+t+shirts,381,6
6,2016-08-07,/google+redesign/bags,381,7
7,2016-08-07,/google+redesign/electronics,373,8
8,2016-08-07,/google+redesign/drinkware,331,9
9,2016-08-07,/asearch.html,322,10
